"","CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","KY_CD","OFNS_DESC","PD_CD","PD_DESC","CRM_ATPT_CPTD_CD","LAW_CAT_CD","JURIS_DESC","BORO_NM","ADDR_PCT_CD","LOC_OF_OCCUR_DESC","PREM_TYP_DESC","PARKS_NM","HADEVELOPT","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon"
"1",221262223,"6/29/15","4:25:00","6/29/15","4:25:00","6/30/15",102,"HOMICIDE-NEGLIGENT-VEHICLE",122,"HOMICIDE, NEGLIGENT, VEHICLE,","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",33,"FRONT OF","STREET","","",1000227,242604,40.83256112,-73.94226635,"(40.832561124, -73.942266354)"
"2",106263590,"11/8/15","6:30:00","11/8/15","9:10:00","11/8/15",102,"HOMICIDE-NEGLIGENT-VEHICLE",122,"HOMICIDE, NEGLIGENT, VEHICLE,","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",68,"","HIGHWAY/PARKWAY","","",977419,172430,40.63996269,-74.02461496,"(40.639962693, -74.024614956)"
"3",696581767,"12/1/15","18:14:00","","","12/1/15",102,"HOMICIDE-NEGLIGENT-VEHICLE",121,"HOMICIDE,NEGLIGENT,VEHICLE","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",61,"","STREET","","",1001266,152013,40.58390853,-73.93874071,"(40.583908529, -73.938740709)"
"4",521908418,"1/1/15","7:23:00","","","1/1/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",45,"INSIDE","","","",1034505,240449,40.82651775,-73.81841444,"(40.826517752, -73.818414435)"
"5",792565718,"1/1/15","2:51:00","","","1/1/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. HOUSING POLICE","BRONX",40,"INSIDE","","","SAINT MARY'S PARK",1009769,236748,40.81646566,-73.90780731,"(40.816465657, -73.907807308)"
"6",968922592,"1/2/15","19:28:00","","","1/2/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. HOUSING POLICE","MANHATTAN",23,"INSIDE","","","",999165,225481,40.78556509,-73.94614208,"(40.78556509, -73.946142079)"
"7",146996306,"1/2/15","2:33:00","","","1/2/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. HOUSING POLICE","QUEENS",107,"OUTSIDE","","","",1035760,205382,40.73026107,-73.81414857,"(40.730261069, -73.814148568)"
"8",457703924,"1/3/15","19:38:00","","","1/3/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",75,"OUTSIDE","","","",1012362,185943,40.67701092,-73.89865177,"(40.677010916, -73.898651772)"
"9",610877897,"1/4/15","16:00:00","","","1/4/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",60,"OUTSIDE","","","",986509,153677,40.58849192,-73.99186807,"(40.588491921, -73.991868066)"
"10",670922003,"1/4/15","15:00:00","","","1/4/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",17,"INSIDE","","","",994064,213844,40.75363169,-73.96457923,"(40.753631686, -73.964579225)"
"11",773245502,"1/6/15","22:05:00","","","1/6/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",106,"OUTSIDE","","","",1036648,181427,40.6645051,-73.81113095,"(40.664505097, -73.811130945)"
"12",765182639,"1/6/15","19:34:00","","","1/6/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",63,"OUTSIDE","","","",1006181,167872,40.62742744,-73.92099432,"(40.627427439, -73.92099432)"
"13",920797504,"1/8/15","17:30:00","","","1/8/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",77,"OUTSIDE","","","",999271,185194,40.67498697,-73.94584923,"(40.674986972, -73.945849231)"
"14",310877049,"1/10/15","23:00:00","","","1/10/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND",120,"OUTSIDE","","","",958892,170827,40.63552913,-74.09136553,"(40.635529133, -74.091365534)"
"15",439946368,"1/10/15","2:25:00","","","1/10/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",101,"OUTSIDE","","","",1053494,161530,40.60977657,-73.75061339,"(40.609776567, -73.750613393)"
"16",414694370,"1/11/15","13:05:00","","","1/11/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",63,"OUTSIDE","","","",1005737,169981,40.63321729,-73.92258713,"(40.633217286, -73.92258713)"
"17",595556981,"1/12/15","22:20:00","","","1/12/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",40,"OUTSIDE","","","",1010837,236281,40.81518072,-73.90395073,"(40.815180724, -73.903950729)"
"18",702613026,"1/12/15","15:28:00","","","1/12/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",114,"INSIDE","","","",1004883,220826,40.77277685,-73.92550818,"(40.772776849, -73.925508182)"
"19",571197659,"1/12/15","10:06:00","","","1/12/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"INSIDE","","","",999390,172259,40.63948303,-73.94544926,"(40.639483032, -73.945449264)"
"20",303997305,"1/13/15","13:20:00","","","1/13/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",10,"OUTSIDE","","","",984088,215325,40.7577021,-74.0005862,"(40.757702098, -74.000586201)"
"21",971803122,"1/16/15","18:54:00","","","1/16/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",46,"OUTSIDE","","","",1011256,251004,40.85558982,-73.90237774,"(40.855589815, -73.902377735)"
"22",904249733,"1/17/15","17:11:00","","","1/17/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. HOUSING POLICE","MANHATTAN",19,"INSIDE","","","",994297,218680,40.76690501,-73.96373102,"(40.766905006, -73.963731019)"
"23",379222500,"1/18/15","11:17:00","","","1/18/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",100,"INSIDE","","","",1037018,154787,40.59138187,-73.81000554,"(40.591381869, -73.810005541)"
"24",526036818,"1/20/15","8:02:00","","","1/20/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",100,"OUTSIDE","","","",1037776,153560,40.58800946,-73.80728602,"(40.588009462, -73.807286023)"
"25",251674817,"1/20/15","22:15:00","","","1/20/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","STATEN ISLAND",122,"OUTSIDE","","","",965092,155703,40.59403247,-74.06898422,"(40.594032466, -74.068984221)"
"26",713299848,"1/20/15","21:34:00","","","1/20/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",14,"INSIDE","","","",987543,214140,40.75444896,-73.98811569,"(40.754448963, -73.988115693)"
"27",638083124,"1/20/15","15:00:00","","","1/20/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",102,"OUTSIDE","","","",1035652,193269,40.69701447,-73.81463073,"(40.69701447, -73.814630726)"
"28",578624521,"1/21/15","22:47:00","","","1/21/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",14,"INSIDE","","","",987608,215185,40.7573172,-73.98788056,"(40.757317199, -73.98788056)"
"29",764220319,"1/22/15","5:30:00","","","1/22/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",41,"OUTSIDE","","","",1017269,234785,40.81105293,-73.88072126,"(40.811052926, -73.880721259)"
"30",864885984,"1/24/15","21:37:00","","","1/24/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",60,"INSIDE","","","",983408,149079,40.57587157,-74.00303243,"(40.575871566, -74.003032428)"
"31",900608720,"1/24/15","5:40:00","","","1/24/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",105,"INSIDE","","","",1053348,178228,40.65561,-73.75096825,"(40.655610001, -73.750968253)"
"32",586413666,"1/24/15","5:40:00","","","1/24/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",105,"INSIDE","","","",1053348,178228,40.65561,-73.75096825,"(40.655610001, -73.750968253)"
